threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.011,5231,862654,458880,15,867885,1607.1944444444443,0.006027296243165857,0.9971406786122761,0.3472328369909514,0.011982165333724265,0.34980252943215906,0.004154466284419048,test
0.012,5229,843991,477543,17,849220,1572.6296296296296,0.006157415039683475,0.9967594357605795,0.3613550616177866,0.012239223093721694,0.36386740831185277,0.004414602088721421,test
0.013,5228,826976,494558,18,832204,1541.1185185185186,0.006282113520242633,0.9965688143347312,0.37423025060270865,0.012485521523673056,0.3766909359501952,0.004663841254609205,test
0.014,5228,811049,510485,18,816277,1511.624074074074,0.006404688604481077,0.9965688143347312,0.38628215392112497,0.01272758035989254,0.388695186843335,0.004908780570378489,test
0.015,5225,796103,525431,21,801328,1483.9407407407407,0.006520426092686141,0.9959969500571865,0.39759173808619375,0.012956033792311677,0.39995779255038516,0.005139981739115506,test
0.016,5224,782088,539446,22,787312,1457.9851851851852,0.006635234824313614,0.9958063286313381,0.4081968379171478,0.013182631428867036,0.4105202068165031,0.005369285573071953,test
0.017,5224,769158,552376,22,774382,1434.0407407407408,0.006746024571852135,0.9958063286313381,0.41798092217075006,0.013401263166535837,0.4202656054507906,0.005590518453808411,test
0.018,5222,756663,564871,24,761885,1410.898148148148,0.0068540527769939035,0.9954250857796416,0.42743584349702696,0.01361436312702785,0.4296816352371908,0.005806174117469271,test
0.019,5221,744848,576686,25,750069,1389.0166666666667,0.006960692949581972,0.9952344643537934,0.43637621128173776,0.013824695656778959,0.4385858996970108,0.0060190191763002145,test
0.02,5217,733719,587815,29,738936,1368.4,0.007060151352755855,0.9944719786504003,0.4447974853465745,0.014020763737902824,0.4469708617856766,0.006217462171247561,test
0.021,5217,723067,598467,29,728284,1348.674074074074,0.007163414272454153,0.9944719786504003,0.4528578152359304,0.014224367101550039,0.45499932166598833,0.006423487580801397,test
0.022,5212,713208,608326,34,718420,1330.4074074074074,0.007254809164555552,0.993518871521159,0.460318084892254,0.014404435195242003,0.46242632538928835,0.0066057524771547275,test
0.023,5212,703551,617983,34,708763,1312.5240740740742,0.007353657005233061,0.993518871521159,0.46762550187887714,0.014599255751678197,0.469704849334479,0.006802890733713898,test
0.024,5210,694247,627287,36,699457,1295.2907407407408,0.0074486351555563815,0.9931376286694624,0.4746658050417167,0.014786370996008248,0.4767158081972897,0.006992254330191847,test
0.025,5209,685460,636074,37,690669,1279.0166666666667,0.007541962937383899,0.9929470072436142,0.48131489617368906,0.014970219064109842,0.4833378555600778,0.0071783007277145105,test
0.026,5209,677091,644443,37,682300,1263.5185185185185,0.007634471640041038,0.9929470072436142,0.48764768821687526,0.015152440709421627,0.48964560816412667,0.0073626897729234565,test
0.027,5207,669090,652444,39,674297,1248.6981481481482,0.007722116515422729,0.9925657643919177,0.493702015990508,0.015325005187309707,0.49567449011893455,0.0075373299834709424,test
0.028,5204,661273,660261,42,666477,1234.2166666666667,0.007808221438999396,0.9919939001143728,0.49961711162936406,0.015494482100508692,0.5015639367491219,0.007708858069380221,test
0.029,5201,653847,667687,45,659048,1220.4592592592592,0.00789168618977677,0.9914220358368281,0.5052363389818196,0.01565872941799866,0.5071586849364628,0.007875094925257934,test
0.03,5199,646636,674898,47,651835,1207.101851851852,0.007975944832664708,0.9910407929851315,0.5106928766115741,0.01582453304843695,0.5125921403699182,0.00804289503068177,test
0.031,5196,639686,681848,50,644882,1194.2259259259258,0.00805728799997519,0.9904689287075867,0.5159519164849334,0.015984544581990008,0.5178281252355327,0.008204846706786229,test
0.032,5195,633176,688358,51,638371,1182.1685185185186,0.00813790100114197,0.9902783072817385,0.5208780099490441,0.016143141029525323,0.5227339875488024,0.008365342209140297,test
0.033,5193,626682,694852,53,631875,1170.138888888889,0.00821839762611276,0.9898970644300419,0.5257919962710003,0.016301456081340905,0.5276270368862962,0.008525565535483167,test
0.034,5188,620591,700943,58,625779,1158.85,0.00829046676222756,0.9889439573008006,0.53040103394994,0.01644308862564875,0.5322140822140822,0.008668946145294561,test
0.035,5187,614525,707009,59,619712,1147.6148148148147,0.0083700170401735,0.9887533358749524,0.5349911542192634,0.016599515487440757,0.5367852997482627,0.008827246999545327,test
0.036,5185,608701,712833,61,613886,1136.825925925926,0.008446193592947225,0.9883720930232558,0.5393981539635,0.016749255409185766,0.541173367099293,0.008978794300819127,test
0.037,5185,603086,718448,61,608271,1126.4277777777777,0.008524161105822898,0.9883720930232558,0.5436470041633436,0.01690254711768378,0.5454054176276398,0.009133909883934407,test
0.038,5184,597709,723825,62,602893,1116.4685185185185,0.008598540702910799,0.9881814715974075,0.5477157606236389,0.017048733924316644,0.5494573327906661,0.009281848989226446,test
0.039,5182,592638,728896,64,597820,1107.0740740740741,0.008668160984911846,0.987800228745711,0.5515529679902296,0.017185515349895368,0.5532778606852681,0.009420284124412408,test
0.04,5180,587550,733984,66,592730,1097.648148148148,0.008739223592529483,0.9874189858940144,0.5554030391953594,0.017325110037861056,0.557111201555646,0.009561566275799271,test
0.041,5179,582514,739020,67,587693,1088.3203703703705,0.00881242417384587,0.9872283644681662,0.5592137621884871,0.017468913328352497,0.5609061034986961,0.009707093902537049,test
0.042,5177,577769,743765,69,582946,1079.5296296296297,0.0088807539634889,0.9868471216164697,0.5628042865336798,0.017603095587835266,0.564480923740183,0.009842899684698503,test
0.043,5173,573117,748417,73,578290,1070.9074074074074,0.00894533884383268,0.9860846359130766,0.5663244381150996,0.017729840146966085,0.5679841420582161,0.009971206967970362,test
0.044,5172,568621,752913,74,573793,1062.5796296296296,0.009013703548143669,0.9858940144872284,0.569726545060513,0.017864081693979163,0.5713720435942659,0.01010705970403986,test
0.045,5169,564247,757287,77,569416,1054.474074074074,0.00907772173595403,0.9853221502096836,0.5730363350469984,0.01798970525282688,0.5746664857775969,0.010234219820625182,test
0.046,5167,559856,761678,79,565023,1046.338888888889,0.00914476047877697,0.984940907357987,0.576358988872023,0.01812127259240814,0.5779744946411614,0.010367380906940104,test
0.047,5166,555677,765857,80,560843,1038.598148148148,0.009211133953708971,0.9847502859321388,0.5795212230635004,0.01825154701822505,0.5811234718642126,0.010499219821741108,test
0.048,5160,551629,769905,86,556789,1031.0907407407408,0.009267424464204572,0.9836065573770492,0.582584330028588,0.018361845792521817,0.5841699452810564,0.010610916680933256,test
0.049,5153,547803,773731,93,552956,1023.9925925925926,0.009319005490491106,0.9822722073961113,0.5854794503962819,0.018462850365996538,0.5870483426038982,0.010713224147872928,test
0.05,5152,543901,777633,94,549053,1016.7648148148148,0.0093834292864259,0.9820815859702631,0.5884320796892096,0.01858924515469088,0.5899885436922474,0.010841138587383439,test
0.051,5150,540170,781364,96,545320,1009.8518518518518,0.009443996185725813,0.9817003431185666,0.5912553139003612,0.018708020473476385,0.5927991076139224,0.010961357470130708,test
0.052,5149,536574,784960,97,541723,1003.1907407407407,0.009504857648650694,0.9815097216927182,0.5939763940995842,0.01882739241163576,0.5955086751383047,0.011082165663340695,test
0.053,5148,533002,788532,98,538150,996.574074074074,0.009566106104246028,0.98131910026687,0.5966793135855756,0.018947507894794956,0.5982001537557093,0.01120372632750153,test
